id,name,price,rating_average,category,solds,cluster
70,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,699000,1,Điện thoại bàn,1,122
71,Máy Tính Bảng OPPO Pad Air (4GB/64GB) | Màn Hình 2K 1 tỷ Màu | Chip Snapdragon 680 | Hàng Chính Hãng,4190000,1,Máy tính bảng,1,17
72,Máy đọc sách Kindle Scribe - Hàng chính hãng,12090000,1,Máy đọc sách,1,84
73,Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng chính hãng,3390000,1,Máy tính bảng,1,17
74,Paperwhite 5 (11th-generation) - 2021 - Hàng Nhập Khẩu,5499000,1,Máy đọc sách,1,84
75,Điện Thoại Vsmart Bee Lite 2GB/16GB - Hàng Chính Hãng,999000,1,Điện thoại Smartphone,1,126
76,Điện thoại Nokia 110 4G - Hàng chính hãng,740000,1,Điện thoại phổ thông,1,29
77,Điện Thoại Samsung A04s 4GB/64GB - Hàng Chính Hãng,2629000,1,Điện thoại Smartphone,1,114
78,Điện Thoại Masstel Hapi 30 3GB/32GB - Hàng Chính Hãng,1879000,1,Điện thoại Smartphone,1,142
79,Điện Thoại Tecno Spark 6 Go 4GB/64GB - Hàng Chính Hãng,2079000,1,Điện thoại Smartphone,1,142
80,Điện thoại để bàn Panasonic KX-TS880 hàng chính hãng,1060000,1,Điện Thoại - Máy Tính Bảng,1,148
81,Máy Tính Bảng Masstel Tab 10A 3GB/32GB - Hàng Chính Hãng,2939000,1,Máy tính bảng,1,17
82,Điện thoại Vivo Y33s (8GB/128GB) - Hàng chính hãng,6069000,1,Điện thoại Smartphone,1,121
83,Điện thoại Realme C25Y (4GB/128GB) - Hàng chính hãng,3599000,1,Điện thoại Smartphone,1,3
84,"Điện thoại Masstel Izi 25 4G Pin siêu khỏe, Gọi HD call- Hàng chính hãng",499000,1,Điện thoại phổ thông,1,29
85,Điện thoại di động Vtel E10 4G – Hàng Chính Hãng,377000,1,Điện thoại phổ thông,1,29
86,"Điện thoại thông minh itel A26  2 Sim 2 Sóng 4G LTE - Màn hình IPS 5.7"" - RAM 2GB + ROM 32 GB - Mở khoá bằng Gương Mặt -  Hàng chính hãng ",2390000,1,Điện thoại Smartphone,1,55
87,Điện Thoại Bàn Panasonic KX-TS500MX - Panasonic KX-TS500MX Integrated Telephone System - Hàng chính hãng,299000,1,Điện Thoại - Máy Tính Bảng,1,148
88,Điện Thoại Vivo T1x 4GB/64GB - Hàng Chính Hãng,3279000,1,Điện thoại Smartphone,1,144
89,Điện Thoại Bàn Panasonic KX-TS500 - Hàng Chính Hãng,339000,1,Điện Thoại - Máy Tính Bảng,1,148
90,"Điện thoại ZTE Blade V40 Vita (ZTE 8045) - MH giọt nước HD+ 6.75"" - Pin 6000 mAh sạc nhanh 22.5W -  Bộ nhớ mở rộng (4+2)GB - Hàng chính hãng",4290000,1,Điện thoại Smartphone,1,125
